ROHAN4600_2201:ミャスィーシチェフに従(したが)いましょう。,ミャスィーシチェフニシタガイマショウ。
ROHAN4600_2202:平康(へいこう)でも、ギョンピョはポピュラーでしょう。,ヘイコウデモ、ギョンピョワポピュラーデショウ。
ROHAN4600_2203:名前(なまえ)にテョが含(ふく)まれる女帝(にょてい)はいません。,ナマエニテョガフクマレルニョテイワイマセン。
ROHAN4600_2204:下戸(げこ)のディアニェに、お神酒(みき)をやっちゃダメです。,ゲコノディアニェニ、オミキヲヤッチャダメデス。
ROHAN4600_2205:丁寧(ていねい)さは、アウィツォトルの真骨頂(しんこっちょう)ですね。,テイネイサワ、アウィツォトルノシンコッチョウデスネ。
ROHAN4600_2206:フィジカルが強(つよ)いジャファルは、徹夜(てつや)も平気(へいき)です。,フィジカルガツヨイジャファルワ、テツヤモヘイキデス。
ROHAN4600_2207:ヴェダーは、炭売(すみう)りで口(くち)に糊(のり)するの？,ヴェダーワ、スミウリデクチニノリスルノ？
ROHAN4600_2208:手(て)に唾(つばき)して、メッツォアングェを手懐(てなず)けます。,テニツバキシテ、メッツォアングェヲテナズケマス。
ROHAN4600_2209:元旦(がんたん)に、クェルクスを供(そな)えましょう。,ガンタンニ、クェルクスヲソナエマショウ。
ROHAN4600_2210:プロイェシュティが、マップに載(の)りました。,プロイェシュティガ、マップニノリマシタ。
ROHAN4600_2211:ティシュキェヴィチが、挨拶(あいさつ)してくれました。,ティシュキェヴィチガ、アイサツシテクレマシタ。
ROHAN4600_2212:今度(こんど)の議長(ぎちょう)は、イェフゲニです。,コンドノギチョウワ、イェフゲニデス。
ROHAN4600_2213:ガブリェラの背(せ)が縮(ちぢ)みましたなー。,ガブリェラノセガチヂミマシタナー。
ROHAN4600_2214:グァリーニの面構(つらがま)えは不敵(ふてき)です。,グァリーニノツラガマエワフテキデス。
ROHAN4600_2215:ファツィオリのピアノは、弾(ひ)き方(かた)で化(ば)けます。,ファツィオリノピアノワ、ヒキカタデバケマス。
ROHAN4600_2216:パラディーゾの背丈(せたけ)は、それ程高(ほどたか)くないです。,パラディーゾノセタケワ、ソレホドタカクナイデス。
ROHAN4600_2217:妙(みょう)な風体(ふうてい)の男(おとこ)が、ザヴァッティーニです。,ミョウナフウテイノオトコガ、ザヴァッティーニデス。
