ROHAN4600_2401:ヴァスィーリョヴィチュは、沸(わ)いた湯(ゆ)で八女茶(やめちゃ)を淹(い)れてます。,ヴァスィーリョヴィチュワ、ワイタユデヤメチャヲイレテマス。
ROHAN4600_2402:ヴェニャミンの採用(さいよう)は、秘中(ひちゅう)の秘(ひ)です。,ヴェニャミンノサイヨウワ、ヒチュウノヒデス。
ROHAN4600_2403:玉葱(たまねぎ)とラディッシュは、相性抜群(あいしょうばつぐん)です。,タマネギトラディッシュワ、アイショウバツグンデス。
ROHAN4600_2404:ピェートゥルソンは、鉛玉(なまりだま)など恐(おそ)れません。,ピェートゥルソンワ、ナマリダマナドオソレマセン。
ROHAN4600_2405:リャボフは、腰痛(ようつう)に悩(なや)まされてます。,リャボフワ、ヨウツウニナヤマサレテマス。
ROHAN4600_2406:ヴウォトコヴィツさん、托鉢(たくはつ)に行(い)きましょ？,ヴウォトコヴィツサン、タクハツニイキマショ？
ROHAN4600_2407:不屈(ふくつ)の鎧(よろい)なら、ヒョロヒョロの身(み)でも平気(へいき)ね。,フクツノヨロイナラ、ヒョロヒョロノミデモヘイキネ。
ROHAN4600_2408:ヒューは、納戸(なんど)を物置(ものおき)にしてます。,ヒューワ、ナンドヲモノオキニシテマス。
ROHAN4600_2409:ミヒェルフェルトは、苗代(なわしろ)が豊富(ほうふ)です。,ミヒェルフェルトワ、ナワシロガホウフデス。
ROHAN4600_2410:実印(じついん)を忘(わす)れ、イェレミースは手(て)ぶらです。,ジツインヲワスレ、イェレミースワテブラデス。
ROHAN4600_2411:ベリャーエフのフルートが、部屋(へや)に鳴(な)り響(ひび)きます。,ベリャーエフノフルートガ、ヘヤニナリヒビキマス。
ROHAN4600_2412:エズィズィとフィロは、塾生(じゅくせい)の双璧(そうへき)です。,エズィズィトフィロワ、ジュクセイノソウヘキデス。
ROHAN4600_2413:フィシェルは、脊柱(せきちゅう)に病気(びょうき)があります。,フィシェルワ、セキチュウニビョウキガアリマス。
ROHAN4600_2414:ギャンブルで負(ま)けるビジョンが染(し)みつきました。,ギャンブルデマケルビジョンガシミツキマシタ。
ROHAN4600_2415:アッスィーズィで英語(えいご)が通(つう)じるか、分(わ)かりません。,アッスィーズィデエイゴガツウジルカ、ワカリマセン。
ROHAN4600_2416:髪(かみ)を結(ゆ)って、チャイテャに参(まい)りましょう。,カミヲユッテ、チャイテャニマイリマショウ。
ROHAN4600_2417:オジェは、ツォチェンでの決定(けってい)に併(あわ)せるでしょう。,オジェワ、ツォチェンデノケッテイニアワセルデショウ。
ROHAN4600_2418:プラムデャが、垣(かき)を作(つく)ります。,プラムデャガ、カキヲツクリマス。
ROHAN4600_2419:グァクは、窓(まど)の露(つゆ)を見(み)ています。,グァクワ、マドノツユヲミテイマス。
ROHAN4600_2420:ンゼオグゥと舞踊(ぶよう)を見(み)ましょう。,ンゼオグゥトブヨウヲミマショウ。
ROHAN4600_2421:吸血鬼(きゅうけつき)をフォファナが倒(たお)します。,キュウケツキヲフォファナガタオシマス。
ROHAN4600_2422:グィエンの注記(ちゅうき)で助(たす)かりました。,グィエンノチュウキデタスカリマシタ。
ROHAN4600_2423:キャシディが、詔書(しょうしょ)偽造罪(ぎぞうざい)ですって。,キャシディガ、ショウショギゾウザイデスッテ。
ROHAN4600_2424:ギャブコはビザを取得(しゅとく)しました。,ギャブコワビザヲシュトクシマシタ。
ROHAN4600_2425:グェッリーニが、フェレットを飼育(しいく)したがってます。,グェッリーニガ、フェレットヲシイクシタガッテマス。
ROHAN4600_2426:コンメッツァドゥーラの沿革(えんかく)に、注目(ちゅうもく)します。,コンメッツァドゥーラノエンカクニ、チュウモクシマス。
ROHAN4600_2427:手札(てふだ)の和(わ)がレピュニットです。,テフダノワガレピュニットデス。
ROHAN4600_2428:ホトキェヴィチは、食欲旺盛(しょくよくおうせい)ですね。,ホトキェヴィチワ、ショクヨクオウセイデスネ。
ROHAN4600_2429:パブリュチェンコワが、ゴボウを細(こま)かく刻(きざ)みます。,パブリュチェンコワガ、ゴボウヲコマカクキザミマス。
ROHAN4600_2430:グローシェフは、デョネに罵声(ばせい)を浴(あ)びせました。,グローシェフワ、デョネニバセイヲアビセマシタ。
ROHAN4600_2431:ぬらりひょんをイメージした、ギター曲(きょく)の楽譜(がくふ)です。,ヌラリヒョンヲイメージシタ、ギターキョクノガクフデス。
ROHAN4600_2432:ロヴェンツェに、砲丸投(ほうがんな)げのメダリストがいます。,ロヴェンツェニ、ホウガンナゲノメダリストガイマス。
