まもなく開場します。入場まで今しばらくお待ちください。,マモナクカイジョウシマス。ニュウジョウマデイマシバラクオマチクダサイ。
受付は午前九時から午後六時までです。,ウケツケワゴゼンクジカラゴゴロクジマデデス。
二階の第三会場へは、正面の階段をご利用ください。,ニカイノダイサンカイジョウエワ、ショウメンノカイダンヲゴリヨウクダサイ。
お帰りの際は、お忘れ物のないようご確認ください。,オカエリノサイワ、オワスレモノノナイヨウゴカクニンクダサイ。
まもなく一番線に電車が到着します。黄色い線の内側でお待ちください。,マモナクイチバンセンニデンシャガトウチャクシマス。キイロイセンノウチガワデオマチクダサイ。
つぎの停留所で、空港ゆきのバスにお乗り換えください。,ツギノテイリュウジョデ、クウコウユキノバスニオノリカエクダサイ。
目的地までは、およそ五百メートルです。,モクテキチマデワ、オヨソゴヒャクメートルデス。
通路が混み合っています。立ち止まらず、ゆっくりお進みください。,ツウロガコミアッテイマス。タチドマラズ、ユックリオススミクダサイ。
あしたの最高気温は二十五度、雨が降る確率は四十パーセントです。,アシタノサイコウキオンワニジュウゴド、アメガフルカクリツワヨンジュッパーセントデス。
強い風が予想されています。外へ出るときは、よく注意してください。,ツヨイカゼガヨソウサレテイマス。ソトエデルトキワ、ヨクチュウイシテクダサイ。
雨のため、道が滑りやすくなっています。,アメノタメ、ミチガスベリヤスクナッテイマス。
非常口は通路の奥にあります。スタッフの指示に従って避難してください。,ヒジョウグチワツウロノオクニアリマス。スタッフノシジニシタガッテヒナンシテクダサイ。
ただいまから、本日のイベントを始めます。,タダイマカラ、ホンジツノイベントヲハジメマス。
上演中は、携帯電話をマナーモードに設定してください。,ジョウエンチュウワ、ケイタイデンワヲマナーモードニセッテイシテクダサイ。
このあと、出演者への質問の時間があります。,コノアト、シュツエンシャエノシツモンノジカンガアリマス。
皆さまのご協力のおかげで、予定どおり進んでいます。,ミナサマノゴキョウリョクノオカゲデ、ヨテイドオリススンデイマス。
はじめに、全体の流れをご説明します。,ハジメニ、ゼンタイノナガレヲゴセツメイシマス。
まず、部品の向きを確かめます。,マズ、ブヒンノムキヲタシカメマス。
つぎに、しるしが付いているほうを上にして重ねます。,ツギニ、シルシガツイテイルホウヲウエニシテカサネマス。
最後に、しっかり固定できているか確認してください。,サイゴニ、シッカリコテイデキテイルカカクニンシテクダサイ。
