こんにちは。あなたの名前はなんですか？,コンニチハ。アナタノナマエハナンデスカ？
おはようございます！今日もいい天気ですね。,オハヨウゴザイマス！キョウモイイテンキデスネ。
こんばんは。何かお手伝いできることはありますか？,コンバンハ。ナニカオテツダイデキルコトハアリマスカ？
はじめまして。これは合成音声です。,ハジメマシテ。コレハゴウセイオンセイデス。
すみません、もう一度お願いします。,スミマセン、モウイチドオネガイシマス。
現在の時刻は12時34分です。,ゲンザイノジコクハジュウニジサンジュウヨンプンデス。
明日の東京の気温は25度、天気は晴れです。,アシタノトウキョウノキオンハニジュウゴド、テンキハハレデス。
この番組は、御覧のスポンサーの提供で、お送りいたします。,コノバングミハ、ゴランノスポンサーノテイキョウデ、オオクリイタシマス。
次のページに進みます。よろしいですか？,ツギノページニススミマス。ヨロシイデスカ？
ご注文内容を確認いたします。,ゴチュウモンナイヨウヲカクニンイタシマス。
現在備中です。少々お待ちください。,ゲンザイビチュウデス。ショウショウオマチクダサイ。
了解しました、設定を保存します。,リョウカイシマシタ、セッテイヲホゾンシマス。
ご不明点がございましたら、お気軽にお尋ねください。,ゴフメイテンガゴザイマシタラ、オキガルニオタズネクダサイ。
申し訳ございません。その質問にはお答えできません。,モウシワケゴザイマセン。ソノシツモンニハオコタエデキマセン。
お電話ありがとうございます。ご用件をお伺いします。,オデンワアリガトウゴザイマス。ゴヨウケンヲオウカガイシマス。
まもなく、一番線に電車がまいります。白い線の内側までお下がりください。,マモナク、イチバンセンニデンシャガマイリマス。シロイセンノウチガワマデオサガリクダサイ。
館内は全館禁煙です。ご協力をお願いいたします。,カンナイハゼンカンキンエンデス。ゴキョウリョクヲオネガイイタシマス。
本日はご来店いただきまして、誠にありがとうございます。,ホンジツハゴライテンイタダキマシテ、マコトニアリガトウゴザイマス。
迷子のお知らせです。お心当たりのある方は、お近くのスタッフまでお声がけください。,マイゴノオシラセデス。オココロアタリノアルカタハ、オチカクノスタッフマデオコエガケクダサイ。
500メートル先、右方向、目的地周辺です。お疲れ様でした。,ゴヒャクメートルサキ、ミギホウコウ、モクテキチシュウヘンデス。オツカレサマデシタ。
