うん、それで大丈夫だと思う。,ウン、ソレデダイジョウブダトオモウ。
たしかに、その考え方もあるね。,タシカニ、ソノカンガエカタモアルネ。
ああ、そういうことか。,アア、ソウイウコトカ。
なるほど。やっと分かった気がする。,ナルホド。ヤットワカッタキガスル。
えっ、今なんて言った？,エッ、イマナンテイッタ？
今のところだけ、もう一回お願い。,イマノトコロダケ、モウイッカイオネガイ。
それ、いつ決まったの？,ソレ、イツキマッタノ？
念のため、確認してもいい？,ネンノタメ、カクニンシテモイイ？
それを聞いて、ほっとした。,ソレヲキイテ、ホットシタ。
思ってたより、ずっと面白かったよ。,オモッテタヨリ、ズットオモシロカッタヨ。
その気持ち、よく分かるよ。,ソノキモチ、ヨクワカルヨ。
それは意外だったな。,ソレワイガイダッタナ。
うーん、それは迷うな。,ウーン、ソレワマヨウナ。
ちょっと考えてから答えてもいいかな？,チョットカンガエテカラコタエテモイイカナ？
今はまだ、はっきり決められない。,イマワマダ、ハッキリキメラレナイ。
ごめん。今日はその予定に合わせるの、難しそう。,ゴメン。キョウワソノヨテイニアワセルノ、ムズカシソウ。
そのやり方、ちょっと気になるところがある。,ソノヤリカタ、チョットキニナルトコロガアル。
今回は、別の案を試してみたいな。,コンカイワ、ベツノアンヲタメシテミタイナ。
ほかのやり方も、一緒に考えてみようか。,ホカノヤリカタモ、イッショニカンガエテミヨウカ。
まずは、できるところから始めてみない？,マズワ、デキルトコロカラハジメテミナイ？
