ねえ、ちょっとだけこっちを見て。,ネエ、チョットダケコッチヲミテ。
ここでは静かにしたほうがよさそう。,ココデワシズカニシタホウガヨサソウ。
大きな声を出さないで。気づかれちゃうよ。,オオキナコエヲダサナイデ。キヅカレチャウヨ。
あとで話すから、いまは笑わないでね。,アトデハナスカラ、イマワワラワナイデネ。
内緒の話なんだけど、聞いてくれる？,ナイショノハナシナンダケド、キイテクレル？
誰にも言わないって、約束してね。,ダレニモイワナイッテ、ヤクソクシテネ。
実はね、ずっと伝えたかったことがあるんだ。,ジツワネ、ズットツタエタカッタコトガアルンダ。
このことは、ふたりだけの秘密にしよう。,コノコトワ、フタリダケノヒミツニシヨウ。
眠れないの？無理に目を閉じなくてもいいよ。,ネムレナイノ？ムリニメヲトジナクテモイイヨ。
ゆっくり息をすって、ゆっくりはいてみて。,ユックリイキヲスッテ、ユックリハイテミテ。
静かな音を聞いてると、心が落ち着くね。,シズカナオトヲキイテルト、ココロガオチツクネ。
おやすみ。いい夢が見られるといいね。,オヤスミ。イイユメガミラレルトイイネ。
足元に気をつけて。段差があるよ。,アシモトニキヲツケテ。ダンサガアルヨ。
この先を右に曲がると、出口が見えるよ。,コノサキヲミギニマガルト、デグチガミエルヨ。
人が通り過ぎるまで、ここで待とう。,ヒトガトオリスギルマデ、ココデマトウ。
慌てなくて大丈夫。ちゃんとそばにいるよ。,アワテナクテダイジョウブ。チャントソバニイルヨ。
つらかったら、手を握っててもいいからね。,ツラカッタラ、テヲニギッテテモイイカラネ。
言葉にしなくても、気持ちは伝わってるよ。,コトバニシナクテモ、キモチワツタワッテルヨ。
大丈夫。ここでは安心していいよ。,ダイジョウブ。ココデワアンシンシテイイヨ。
またあした。今夜はゆっくり休んでね。,マタアシタ。コンヤワユックリヤスンデネ。
