おはようございます。本日もよろしくお願いいたします。,オハヨウゴザイマス。ホンジツモヨロシクオネガイイタシマス。
お越しいただき、ありがとうございます。,オコシイタダキ、アリガトウゴザイマス。
どうぞこちらへおかけください。,ドウゾコチラエオカケクダサイ。
お時間のあるときに、お声がけください。,オジカンノアルトキニ、オコエガケクダサイ。
恐れ入りますが、資料の三ページ目をご覧いただけますか？,オソレイリマスガ、シリョウノサンページメヲゴランイタダケマスカ？
差し支えなければ、詳しい状況を教えてください。,サシツカエナケレバ、クワシイジョウキョウヲオシエテクダサイ。
こちらで確認いたしますので、少々お待ちください。,コチラデカクニンイタシマスノデ、ショウショウオマチクダサイ。
ご不明な点はございませんか？,ゴフメイナテンワゴザイマセンカ？
来週の水曜日、午後二時はいかがでしょうか？,ライシュウノスイヨウビ、ゴゴニジワイカガデショウカ？
開始時刻をさんじゅっぷんほど遅らせてもよろしいでしょうか？,カイシジコクヲサンジュップンホドオクラセテモヨロシイデショウカ？
念のため、集合場所の地図をお送りします。,ネンノタメ、シュウゴウバショノチズヲオオクリシマス。
ご都合が悪ければ、別の日程も調整できます。,ゴツゴウガワルケレバ、ベツノニッテイモチョウセイデキマス。
説明が足りず、申し訳ありません。,セツメイガタリズ、モウシワケアリマセン。
お待たせしてしまい、失礼いたしました。,オマタセシテシマイ、シツレイイタシマシタ。
担当の者に確認して、折り返しご連絡いたします。,タントウノモノニカクニンシテ、オリカエシゴレンラクイタシマス。
先ほどの件を、順番にご説明します。,サキホドノケンヲ、ジュンバンニゴセツメイシマス。
お役に立てたようで、なによりです。,オヤクニタテタヨウデ、ナニヨリデス。
丁寧にご対応いただき、ありがとうございました。,テイネイニゴタイオウイタダキ、アリガトウゴザイマシタ。
本日はお時間をいただき、ありがとうございました。,ホンジツワオジカンヲイタダキ、アリガトウゴザイマシタ。
どうぞお気をつけてお帰りください。,ドウゾオキヲツケテオカエリクダサイ。
