001:やったー！第一志望に受かった！,ヤッター！ダイイチシボウニウカッタ！
002:見て見て！この猫の動画めっちゃ可愛くない？,ミテミテ！コノネコノドウガメッチャカワイクナイ？
003:今日のご飯、青色に着色されたカレーだ！美味しくなさそ～,キョウノゴハン、アオイロニチャクショクサレタカレーダ！オイシクナサソ～
004:やった！宝くじ、千円当たってた！,ヤッタ！タカラクジ、センエンアタッテタ！
005:この服、似合ってるって言われちゃった！,コノフク、ニアッテルッテイワレチャッタ！
006:久しぶりに友達に会えるの、めっちゃ楽しみ！,ヒサシブリニトモダチニアエルノ、メッチャタノシミ！
007:宇宙船が飛んできた！侵略されちゃう！,ウチュウセンガトンデキタ！シンリャクサレチャウ！
008:さっき流れちゃったツイート、やっと見つけた！,サッキナガレチャッタツイート、ヤットミツケタ！
009:今日、AIに褒められた。,キョウ、AIニホメラレタ。
010:凄い！サプライズ大失敗だ！,スゴイ！サプライズダイシッパイダ！
011:やった！昨日組んだPC、一発で起動した！俺天才かも！,ヤッタ！キノウクンダPC、イッパツデキドウシタ！オレテンサイカモ！
012:レンダリング終わった！この流体表現完璧！,レンダリングオワッタ！コノリュウタイヒョウゲンカンペキ！
013:今日推しに「可愛い」って言われちゃった！,キョウオシニ「カワイイ」ッテイワレチャッタ！
014:20年ぶりに新刊出た！生きてる間に読めてよかった！,ニジュウネンブリニシンカンデタ！イキテルアイダニヨメテヨカッタ！
015:ハローワールド表示できた！ここまでできたら完成したようなもんよ！,ハローワールドヒョウジデキタ！ココマデデキタラカンセイシタヨウナモンヨ！
016:組んだギミックが一発で動いた！あたし完璧！,クンダギミックガイッパツデウゴイタ！アタシカンペキ！
017:お、グラボの値段、ちょっと下がってる！今が買い時か！？,オ、グラボノネダン、チョットサガッテル！イマガカイトキカ！？
018:ベベルかけただけなのに、なんかプロっぽく見える！,ベベルカケタダケナノニ、ナンカプロッポクミエル！
019:メタバース最高すぎてもう現実帰りたくない！,メタバースサイコウスギテモウゲンジツカエリタクナイ！
020:アニメ最終回、完璧だった！製作陣ありがとう！,アニメサイシュウカイ、カンペキダッタ！セイサクジンアリガトウ！
021:は？なんで俺のプリン食べたの？,ハ？ナンデオレノプリンタベタノ？
022:もう！何回言ったらわかるのよ！いい加減にして！,モウ！ナンカイイッタラワカルノヨ！イイカゲンニシテ！
023:また電車遅れてる。朝からついてないな。,マタデンシャオクレテル。アサカラツイテナイナ。
024:ちょっと、今話してるんだけど！,チョット、イマハナシテルンダケド！
025:なんでWi-Fi繋がらないの！,ナンデWi-Fiツナガラナイノ！
026:またパソコンフリーズした！,マタパソコンフリーズシタ！
027:なんで私だけこんなことしなきゃいけないの？,ナンデワタシダケコンナコトシナキャイケナイノ？
028:はあ？それ、私のせいにしないでよ！,ハア？ソレ、ワタシノセイニシナイデヨ！
029:信じらんない！マテリアル千個も使ってるよ！,シンジランナイ！マテリアルセンコモツカッテルヨ！
030:二階の人一晩中反復横跳びしてない？,ニカイノヒトヒトバンジュウハンプクヨコトビシテナイ？
031:レンダリング中にクラッシュした！俺の3時間を返せ～！,レンダリングチュウニクラッシュシタ！オレノサンジカンヲカエセ～！
032:セカンダリでギズモを出して、コンテキストメニューからインスペクターを開く？何語？,セカンダリデギズモヲダシテ、コンテキストメニューカラインスペクターヲヒラク？ナンゴ？
033:なんだこのアニメ化は！え？脚本作者なの？,ナンダコノアニメカワ！エ？キョクホンサクシャナノ？
034:温度制御できないハンダゴテ使ってるの？,オンドセイギョデキナイハンダゴテツカッテルノ？
035:国内なのに遅延が50ミリ秒もあるの？,コクナイナノニチエンガゴジュウミリビョウモアルノ？
036:ドライバ更新したら、ブルースクリーン出た！,ドライバコウシンシタラ、ブルースクリーンデタ！
037:UV展開こそAIがやってくれよ！,UVテンカイコソAIガヤッテクレヨ！
038:なんで鏡を見ながら人と会話してるの？,ナンデカガミヲミナガラヒトトカイワシテルノ？
039:ちょっと世界観の構築が甘いな,チョットセカイカンノコウチクガアマイナ
