ねえ、ちょっとだけ手伝ってくれない？,ネエ、チョットダケテツダッテクレナイ？
もし時間があるなら、一緒に来てほしいな。,モシジカンガアルナラ、イッショニキテホシイナ。
もう少しだけ、ここにいてもいい？,モウスコシダケ、ココニイテモイイ？
ひとりだと心細いから、そばにいてくれる？,ヒトリダトココロボソイカラ、ソバニイテクレル？
そんなに褒められると、照れちゃうよ。,ソンナニホメラレルト、テレチャウヨ。
ありがとう。でも、ちょっと恥ずかしいな。,アリガトウ。デモ、チョットハズカシイナ。
覚えててくれたんだ。それがいちばんうれしい。,オボエテテクレタンダ。ソレガイチバンウレシイ。
そんなふうに言ってもらえるなんて、思ってなかった。,ソンナフウニイッテモラエルナンテ、オモッテナカッタ。
きょうは、のんびり一緒に過ごそうよ。,キョウワ、ノンビリイッショニスゴソウヨ。
なにするか決めなくても、そばにいられたらいいな。,ナニスルカキメナクテモ、ソバニイラレタライイナ。
同じものを見て笑えるって、いいね。,オナジモノヲミテワラエルッテ、イイネ。
帰るまえに、もう少しだけ話そう。,カエルマエニ、モウスコシダケハナソウ。
もう帰る時間なんだね。早かったな。,モウカエルジカンナンダネ。ハヤカッタナ。
また会えるってわかってても、ちょっと寂しいね。,マタアエルッテワカッテテモ、チョットサビシイネ。
つぎに会うときの楽しみが、ひとつ増えたね。,ツギニアウトキノタノシミガ、ヒトツフエタネ。
そばにいると、なんだかほっとするよ。,ソバニイルト、ナンダカホットスルヨ。
話を聞いてくれるだけで、じゅうぶんうれしいよ。,ハナシヲキイテクレルダケデ、ジュウブンウレシイヨ。
きょうは疲れたから、ひとこと励ましてほしいな。,キョウワツカレタカラ、ヒトコトハゲマシテホシイナ。
そんな顔で見られると、なんて言えばいいか、わかんないよ。,ソンナカオデミラレルト、ナンテイエバイイカ、ワカンナイヨ。
きょうはありがとう。またゆっくり話せたらいいな。,キョウワアリガトウ。マタユックリハナセタライイナ。
