リアルで友達に会えるのめっちゃ楽しみ！,リアルデトモダチニアエルノメッチャタノシミ！
流れちゃったツイート、やっと見つけた！,ナガレチャッタツイート、ヤットミツケタ！
やった！レンダリング終わった！この流体表現完璧！,ヤッタ！レンダリングオワッタ！コノリュウタイヒョウゲンカンペキ！
20年ぶりに新刊出た！生きてる間に読めてよかったー,ニジュウネンブリニシンカンデタ！イキテルアイダニヨメテヨカッター
ハローワールド表示できた！ここまでできたら完成したようなもんよ！,ハローワールドヒョウジデキタ！ココマデデキタラカンセイシタヨウナモンヨ！
お、グラボの値段ちょっと下がってる！今が買い時か！？,オ、グラボノネダンチョットサガッテル！イマガカイドキカ！？
メタバース最高すぎてもう現実帰りたくない！,メタバースサイコウスギテモウゲンジツカエリタクナイ！
もう！何回言ったらわかるのよ！あなた重たすぎ！,モウ！ナンカイイッタラワカルノヨ！アナタオモタスギ！
なんで私だけ軽量化しなきゃいけないの？,ナンデワタシダケケイリョウカシナキャイケナイノ？
信じらんない！マテリアル千個も使わないでよ！,シンジランナイ！マテリアルセンコモツカワナイデヨ！
二階の人一晩中反復横跳びしてない？,ニカイノヒトヒトバンジュウハンプクヨコトビシテナイ？
レンダリング中にクラッシュした！俺の3時間を返せ！,レンダリングチュウニクラッシュシタ！オレノサンジカンヲカエセ！
セカンダリでギズモを出して、コンテキストメニューからインスペクターを開く？,セカンダリデギズモヲダシテ、コンテキストメニューカラインスペクターヲヒラク？
なんだこのアニメ化は！え？脚本原作者？,ナンダコノアニメカワ！エ？キャクホンゲンサクシャ？
僕は温度制御付きのハンダゴテを使っています。,ボクハオンドセイギョツキノハンダゴテヲツカッテイマス？
国内なのに遅延が50ミリ秒もあるんだって。,コクナイナノニチエンがゴジュウミリビョウモアルンダッテ
ドライバ更新したら、ブルースクリーン出た！,ドライバコウシンシタラ、ブルースクリーンデタ！
なんで鏡を見ながら人と会話してるの？,ナンデカガミヲミナガラヒトトカイワシテルノ？
ちょっと世界観の構築が甘いなー,チョットセカイカンノコウチクガアマイナー
この傘、カメラと引き金がついてる！,コノカサ、カメラトヒキガネガツイテル！
猫の毛を加水分解して醤油にしよっと,ネコノケヲカスイブンカイシテショウユニシヨット
隣に引っ越してきた人、配信者じゃない？,トナリニヒッコシテキタヒト、ハイシンシャジャナイ？
早く体を義体化したいな。,ハヤクカラダヲギタイカシタイナ。
最近プラベにこもってばっかだな。,サイキンプラベニコモッテバッカダナ。
さよなら、俺のSSD…。バックアップ取ってなかった…。,サヨナラ、オレノエスエスディー…。バックアップトッテナカッタ…。
レンダリング終わったけど、出力形式間違えてた。,レンダリングオワッタケド、シュツリョクケイシキマチガエテタ。
仲良かったフレンド、最近全然ログインしてないな…。,ナカヨカッタフレンド、サイキンゼンゼンログインシテナイナ…。
電圧かけすぎてマイコン死んじゃった。,デンアツカケスギテマイコンシンジャッタ。
頭は一つしかないのに、VRゴーグルいっぱい持ってるんだね。,アタマハヒトツシカナイノニ、ブイアールゴーグルイッパイモッテルンダネ。
パブリックドメインっていい響きだね。,パブリックドメインッテイイヒビキダネ。
まじか！また神アップデート来てる！,マジカ！マタカミアプデートキテル！
え？ボイチェンじゃなくて地声なの！？,エ？ボイチェンジャナクテジゴエナノ！？
うそ！あの漫画、10年ぶりに続編決定！？,ウソ！アノマンガ、ジュウネンブリニゾクヘンケッテイ！？
あれ？プログラム変えてないのになんで動いてんの？,アレ？プログラムカエテナイノニナンデウゴイテンノ？
CPU温度100度超えてる！クーラーのフィルム剥がし忘れてた！,シーピーユーオンドヒャクドコエテル！クーラーノフィルムハガシワスレテタ！
今日のタスク、だいたい終わったし、あとはゆっくりしよっと。,キョウノタスク、ダイタイオワッタシ、アトハユックリシヨット。
さて、作業始めるか。夜が一番集中できる。,サテ、サギョウハジメルカ。ヨルガイチバンシュウチュウデキル。
寝る前にみんなに挨拶しにいこ。,ネルマエニミンナニアイサツシニイコ。
今どきの記念写真はガウスプでしょ。,イマドキノキネンシャシンハガウスプデショ。
メッシュの頂点を一個一個配置していく、心のこもったモデリング。,メッシュノチョウテンヲイッコイッコハイチシテイク、ココロノコモッタモデリング。
