操作を開始します。準備ができたら、次へ進んでください。,ソウサヲカイシシマス。ジュンビガデキタラ、ツギエススンデクダサイ。
必要な項目を選択してください。,ヒツヨウナコウモクヲセンタクシテクダサイ。
入力内容を確認しました。問題がなければ保存します。,ニュウリョクナイヨウヲカクニンシマシタ。モンダイガナケレバホゾンシマス。
前の画面に戻ると、入力した内容は消えます。,マエノガメンニモドルト、ニュウリョクシタナイヨウワキエマス。
表示する文字の大きさを選べます。,ヒョウジスルモジノオオキサヲエラベマス。
音量を10段階のうち6に設定しました。,オンリョウヲジュウダンカイノウチロクニセッテイシマシタ。
通知を午後6時30分に設定しました。,ツウチヲゴゴロクジサンジュップンニセッテイシマシタ。
変更した設定を初期状態に戻しますか？,ヘンコウシタセッテイヲショキジョウタイニモドシマスカ？
データを読み込んでいます。画面はそのままでお待ちください。,データヲヨミコンデイマス。ガメンワソノママデオマチクダサイ。
処理に時間がかかります。終わると自動で画面が切り替わります。,ショリニジカンガカカリマス。オワルトジドウデガメンガキリカワリマス。
3件のファイルを保存しました。,サンケンノファイルヲホゾンシマシタ。
新しい情報があります。内容を表示しますか？,アタラシイジョウホウガアリマス。ナイヨウヲヒョウジシマスカ？
Wi-Fiに接続できませんでした。通信環境をご確認ください。,ワイファイニセツゾクデキマセンデシタ。ツウシンカンキョウヲゴカクニンクダサイ。
入力内容に誤りがあります。表示された項目を確認してください。,ニュウリョクナイヨウニアヤマリガアリマス。ヒョウジサレタコウモクヲカクニンシテクダサイ。
保存に失敗しました。時間をおいて、もう一度お試しください。,ホゾンニシッパイシマシタ。ジカンヲオイテ、モウイチドオタメシクダサイ。
選択した内容を削除します。本当によろしいですか？,センタクシタナイヨウヲサクジョシマス。ホントウニヨロシイデスカ？
変更内容はまだ保存されていません。,ヘンコウナイヨウワマダホゾンサレテイマセン。
音声を使用するには、マイクへのアクセスを許可してください。,オンセイヲシヨウスルニワ、マイクエノアクセスヲキョカシテクダサイ。
確認コードを送信しました。届いた番号を入力してください。,カクニンコードヲソウシンシマシタ。トドイタバンゴウヲニュウリョクシテクダサイ。
必要な操作は終わりました。ほかにお手伝いできることはありますか？,ヒツヨウナソウサワオワリマシタ。ホカニオテツダイデキルコトワアリマスカ？
